Column name	Category	Required	Example	Definition	Additional instructions	Transformation	Parameter	Parameter 2
Launch type	collection	N	HOV	The type of launch used to collect the sample.	Please use controlled list	map	sesar:launch_type	
Launch platform name	collection	N	Alvin; Jason II	The name of the launch used to collect the sample.		map	sesar:launch_platform_name	
Launch ID	collection	N	3969; J2-434	Further identifying information about the launch		map	sesar:launch_id	
Collector/Chief Scientist	collection	Y	John Smith	Name of the person who collected the sample. In case of larger field programs, name of chief scientist responsible for sample collection.		map	sesar:collector_chief_scientist	
Collector/Chief Scientist Address	collection	N	Woods Hole Oceanographic Institution, Woods Hole, MA	Institution, address, & email of the collector or chief scientist.		map	sesar:collector_chief_scientist_address	
Collection date	collection	N	2015-03-31	Date when the sample was collected.	YYYY-MM-DD: for best results, format this column in the spreadsheet as 'Text'. If only the year of collection is known, please enter, for example, 2015-01-01 and specify 'year' as the Collection date precision.	map	sesar:collection_date	
Collection time	collection	N	12:05:03Z	Time when the sample was collected.	HH:MM:SSZ, format this column in the spreadsheet as 'Text'. If 'Z' is not specified, United States Eastern Time is assumed.	map	sesar:collection_time	
Collection date (end)	collection	N	2015-03-31	Date when the sample collection was finished (if a date range is provided).	YYYY-MM-DD: for best results, format this column in the spreadsheet as 'Text'	map	sesar:collection_date_end	
Collection time (end)	collection	N	13:05:01Z	Time when the sample was collected.	HH:MM:SSZ, format this column in the spreadsheet as 'Text'. If 'Z' is not specified, United States Eastern Time is assumed.	map	sesar:collection_time_end	
Collection date precision	collection	N	year; month; day; time	Precision to display the collection date and time.		map	sesar:collection_date_precision	
Current Archive	curation	Y	Lamont Deep Sea Core Repository; Palisades, NY	Name of institution, museum, or repository where the sample is currently stored.		map	sesar:archive_current	
Current Archive Contact	curation	N	curator@ldeo.columbia.edu	Address and/or email of the person who should be contacted for information about or access to the sample.	Email is not mandatory, but helps for communication about samples.	map	sesar:archive_contact_current	
Original Archive	curation	N	Lamont Deep Sea Core Repository; Palisades, NY	Name of institution, museum, or repository where the sample was originally stored.		map	sesar:archive_original	
Original Archive Contact	curation	N	curator@ldeo.columbia.edu	Address and/or email of the person who should be contacted for information about the sample's original archive.		map	sesar:archive_contact_original	
Depth in Core (min)	relation_to_parent	N	0.001	Minimum depth at which a sample was collected from its parent core		map	sesar:depth_in_core_min	
Depth in Core (max)	relation_to_parent	N	0.003	Maximum depth at which a sample was collected from its parent core		map	sesar:depth_in_core_max	
Depth scale	relation_to_parent	N	MBSF; cm	Unit in which the depth is provided		map	sesar:depth_scale	
